crop,variety_example,season,sow_or_transplant_window,harvest_window,duration_days,kc_ini,kc_mid,kc_end,sensitive_stage,heat_threshold_c,flood_submergence_tolerance,salinity_tolerance_ds_m,drought_tolerant_varieties,fits_after_aman,n_fixing_legume,variety_yield_t_ha,typical_yield_t_ha,yield_rajshahi_t_ha,national_area_ha,rajshahi_area_ha,farmgate_price_bdt_kg,cost_bdt_ha,crop_value_bdt_ha,byproduct_value_bdt_ha,net_return_bdt_ha,source
Boro rice,BRRI dhan28; BRRI dhan81; BRRI dhan88; BRRI dhan89; BRRI dhan92,Rabi (irrigated),December to Mid-February,Mid-April to June,140-160,1.05,1.2,0.9,flowering (anthesis),35.0,none listed,"up to 15 (seedling): BRRI hybrid dhan9, BRRI hybrid dhan10, BRRI dhan47, BRRI dhan61, BRRI dhan67, BRRI dhan97, BRRI dhan99, BRRI dhan117",BRRI dhan55,,no,5.5-9.7,4.36,4.02,4889032.0,67292.0,30.51,96023.0,143175.0,17191.0,64344.0,BRRI variety table; BBS crop calendar; FAO-56 Table 12; spikelet sterility above ~35 degC at anthesis (Yoshida 1981; Jagadish et al. 2007); BBS 2024-25 district tables (clean rice); harvest-time price 2024-25 (Boro Paddy (Coarse)); Agriculture Census 2019 costs (2019 taka)
T.Aman rice,BRRI dhan49; BRRI dhan71; BRRI dhan75; BRRI dhan87; BRRI dhan103,Kharif-2 (rainfed),Late June to Mid-August,December to early January,110-135,1.05,1.2,0.9,flowering (anthesis),35.0,"varieties: BRRI dhan51, BRRI dhan52, BRRI dhan78, BRRI dhan79, BRRI dhan91, BRRI dhan110, BRRI dhan111","up to 12 (seedling): BRRI dhan40, BRRI dhan41, BRRI dhan53, BRRI dhan54, BRRI dhan73, BRRI dhan78, BRRI dhan112","BRRI dhan56, BRRI dhan57, BRRI dhan66, BRRI dhan71",,no,4.5-8,2.94,2.95,5612036.0,81580.0,30.44,73286.0,100112.0,19037.0,45863.0,BRRI variety table; BBS crop calendar; FAO-56 Table 12; spikelet sterility above ~35 degC at anthesis (Yoshida 1981; Jagadish et al. 2007); BBS 2024-25 district tables (clean rice); harvest-time price 2024-25 (Aman Paddy (Coarse)); Agriculture Census 2019 costs (2019 taka)
Aus rice,BRRI dhan48; BRRI dhan82; BRRI dhan98; BRRI dhan106,Kharif-1,Mid-March to Mid-April,July to August,100-117,1.05,1.2,0.9,flowering (anthesis),35.0,none listed,,"BRRI dhan65, BRRI dhan83",,no,4.5-5.9,2.91,3.33,958974.0,45471.0,27.28,64052.0,87925.0,14194.0,38067.0,BRRI variety table; BBS crop calendar; FAO-56 Table 12; spikelet sterility above ~35 degC at anthesis (Yoshida 1981; Jagadish et al. 2007); BBS 2024-25 district tables (clean rice); harvest-time price 2024-25 (Aus Paddy (Coarse)); Agriculture Census 2019 costs (2019 taka)
Wheat,,Rabi,November to December,March to Mid-April,,0.3,1.15,0.4,grain filling,30.0,,,,,no,,3.71,4.09,280749.0,23511.0,36.58,53330.0,73042.0,7287.0,26999.0,BBS crop calendar; FAO-56 Table 12; grain-filling heat stress above ~30 degC (Wardlaw & Wrigley 1994); varieties now from BWMRI; BBS 2024-25 district tables; harvest-time price 2024-25 (Wheat); Agriculture Census 2019 costs (2019 taka)
Maize,,Rabi,Mid October to Late December,Early April to End May,,0.3,1.2,0.6,tasselling/silking,,,,,,no,,10.76,9.25,452701.0,7231.0,,81868.0,157151.0,4759.0,80042.0,BBS crop calendar; FAO-56 Table 12; BBS 2024-25 district tables; Agriculture Census 2019 costs (2019 taka)
Mustard,BARI Mustard-14; BARI Mustard-17; BARI Mustard-18; BARI Mustard-20,Rabi,Mid October to Mid- November,Late January to Mid-February,75-86,0.35,1.15,0.35,flowering,,,"tolerant: BARI Mustard-11, BARI Mustard-19","BARI Mustard-11, BARI Mustard-19","BARI Mustard-11, BARI Mustard-14, BARI Mustard-15, BARI Mustard-16, BARI Mustard-20",no,1.4-2,1.41,1.52,455582.0,21864.0,78.53,,,,,BARI variety table; BBS crop calendar; FAO-56 Table 12; BBS 2024-25 district tables; harvest-time price 2024-25 (Mustard)
Potato,BARI Potato-25,Rabi,Mid-September to November,Mid-January to March,90-95,0.5,1.15,0.75,tuber bulking,,,tolerant: BARI Potato-72,BARI Potato-13,,no,25-30,23.39,26.34,494913.0,37386.0,31.96,157532.0,330019.0,4552.0,177038.0,BARI variety table; BBS crop calendar; FAO-56 Table 12; BBS 2024-25 district tables; harvest-time price 2024-25 (Potato (Holand)); Agriculture Census 2019 costs (2019 taka)
Lentil,BARI Lentil-5; BARI Lentil-6; BARI Lentil-8,Rabi,Mid October to Mid November,Early February to Early March,110-115,0.4,1.1,0.3,flowering/pod fill,,,,,,yes,2.1-2.3,1.39,1.51,120944.0,9815.0,90.78,,,,,BARI variety table; BBS crop calendar; FAO-56 Table 12; BBS 2024-25 district tables; harvest-time price 2024-25 (Lentil (Masur))
Mungbean,BARI Mungbean-6; BARI Mungbean-7; BARI Mungbean-8,Kharif-1,Mid August to Mid September,Mid November to Mid December,58-62,0.4,1.05,0.6,flowering,,,,,,yes,1.5-1.9,1.1,1.18,125870.0,604.0,111.35,,,,,BARI variety table; BBS crop calendar; FAO-56 Table 12; BBS 2024-25 district tables; harvest-time price 2024-25 (Green Gram (Mug))
Grass pea (khesari),BARI Grasspea-3; BARI Grasspea-5; BARI Grasspea-6,Rabi (relay in Aman),Mid October to Mid December,Mid February to Mid April,108-130,0.4,1.15,0.3,flowering,,,,,,yes,1.37-2,1.2,1.5,108276.0,958.0,77.04,,,,,BARI variety table; BBS crop calendar; FAO-56 Table 12 (proxy: FAO-56 has no grass pea); BBS 2024-25 district tables; harvest-time price 2024-25 (Grass pea (Kheshari))
