crop_group,crop_en,crop_bn,page,field,label_bn,text_bn
tuber,potato,আলু,25,other,আলুর উৎপাদন প্রযুক্তি,"বীজ আলু, খাবার আলু, আগাম আলু, প্রক্রিয়াজাতকরণের জন্য আলু ও রপ্তানির যোগ্য আলু উৎপাদনের জন্য কিছুটা ভিন্ন ভিন্ন পদ্ধতির উৎপাদন কৌশল ব্যবহার করা দরকার। নিম্নে আলু উৎপাদনের পদ্ধতি ধারাবাহিক ভাবে বর্ণিত হলো।"
tuber,potato,আলু,25,land_preparation,জমি নির্বাচন,আলু ফসল যে কোন মাটিতে হতে পারে। তবে বেলে দো-আঁশ থেকে দো-আঁশ মাটি আলু চাষের জন্য উত্তম। উঁচু থেকে মাঝারী উঁচু জমি যেখানে সেচ ও নিষ্কাশনের সুব্যবস্থা আছে সে সকল জমি নির্বাচন করতে হবে। জমিটি অবশ্যই রৌদ্র উজ্জ্বল হতে হবে। জমিটিতে অবশ্যই একবার ধান চাষ করতে হবে। আগাম ধান আবাদ করা জমি যেখানে ধান কাটার পরই আলুর আবাদ করা সম্ভব সে সকল জমি নির্বাচন করা সবচেয়ে ভাল।
tuber,potato,আলু,25,other,জাত নির্বাচন,"কন্দাল ফসল গবেষণা কেন্দ্র, বিএআরআই এ পর্যন্ত আলুর মোট 104টি জাত (যার মধ্যে বারি আলু হিসেবে 93টি) অবমুক্ত করছে। মুক্তায়িত জাতগুলোর মধ্যে রয়েছে খাবার আলু, প্রক্রিয়াজাতকরণের উপযোগী আলু, রপ্তানিযোগ্য আলু, রোগপ্রতিরোধী, আগাম আলু ও সাধারণ তাপমাত্রায় সংরক্ষণ করা যায় এমন আলুর জাত। এদের মধ্য থেকে প্রয়োজন/চাহিদা মোতাবেক জাত নির্বাচন করতে হবে।"
tuber,potato,আলু,25,land_preparation,জমি তৈরি,মাটিতে “জোঁ” আসার পর গরুর লাঙ্গল বা যন্ত্র চালিত কর্ষণ যস্ত্র পাওয়ার টিলার/ট্রাক্টর দ্বারা গভীরভাবে আড়াআড়ি চাষ ও মই দিয়ে মাটি ঝুরঝুরে করে প্রস্তুত করতে হবে। আড়াআড়িভাবে কমপক্ষে 4টি চাষ দিতে হবে। লক্ষ্য রাখতে হবে যেন জমিতে বড় মাটির ঢেলা না থাকে এবং মাটি ঝুরঝুরে অবস্থায় আসে। কারণ বড় মাটির ঢেলা আলুর সঠিক বৃদ্ধিতে বাধাগ্রস্থ করে এবং অনেক সময় অসম ও বিকৃত আকার তৈরি করে। জমি তৈরির সময় খেয়াল রাখতে হবে যাতে জমিতে সুষম সেচ প্রদান করা যায়। সেজন্য জমির উপরিভাগ সমতল করতে হবে।
tuber,potato,আলু,25,harvest,আলু বীজ সংগ্রহ ও পরিচর্যা,কোল্ড স্টোরেজ থেকে বীজ আলু বের করার পর 48 ঘণ্টা প্রি হিটিং রুমে রাখতে হবে। বীজ আলু বাড়ীতে আনার 24 ঘণ্টার মধ্যে বস্তা খুলে ছড়িয়ে আবহাওয়ার সাথে খাপ খাওয়ানোর জন্য স্বাভাবিকভাবে বাতাস চলাচল করে এমন ছায়াযুক্ত স্থানে রাখতে হবে। কারণ বীজ কোল্ড স্টোরেজ থেকে বের করে বস্তা বন্ধ অবস্থায় রাখলে ঘেমে পচে যাওয়ার সম্ভাবনা থাকে।
tuber,potato,আলু,25,other,বীজ শোধন,কোল্ড স্টোরেজে রাখার আগে বীজ শোধন না হয়ে থাকলে অঙ্কুর গজানোর পূর্বে বীজ আলু দাঁদ বা স্ক্যাব এবং ব্ল্যাক স্কার্ফ রোগ প্রতিরোধের জন্য 3% বরিক এসিড দিয়ে শোধন করে নিতে হয় (1 লিটার পানি + 30 গ্রাম হারে বরিক এসিড মিশিয়ে বীজ আলু 10-15 মিনিট চুবিয়ে পরে ছায়ায় শুকাতে হবে)। পলিথিন সিটের উপর আলু ছড়িয়ে স্প্রে করেও কাজটি করা যায়। তবে খেয়াল রাখতে হবে যেন আলুর সকল অংশ ভিজে যায়।
tuber,potato,আলু,25,seed_rate,বীজের পরিমাণ,সাধারণত হেক্টরপ্রতি 1.5-2.0 টন বীজ আলু প্রয়োজন ।
tuber,potato,আলু,25,other,বীজ তৈরি,"অঙ্কুর গজানোর পর 1ম কুঁড়িটি ভেঙ্গে নিতে হবে। কারণ 1ম কুঁড়ি ভেঙ্গে দেয়ার পর অন্যান্য কুঁড়ি সমান ভাবে বৃদ্ধির সুযোগ পায়। আলু ফসলের জন্য 30-40 গ্রাম ওজনের আস্ত আলু বীজ হিসেবে ব্যবহার করা উত্তম। কেটেও বীজ লাগানো যেতে পারে। লক্ষ্য রাখতে হবে যেন প্রতিটি কর্তিত অংশে কমপক্ষে 2টি চোখ থাকে। বীজ লাগানোর 2-3 দিন পূর্বে আলু কেটে ছায়াযুক্ত স্থানে আর্দ্র আবহাওয়ায় রেখে দিলে কাটা অংশের উপর একটা প্রলেপ পড়ে ফলে মাটি বাহিত রোগ জীবাণু সহজে বীজে প্রবেশ করতে পারবে না। অন্যভাবে পরিষ্কার ছাই মেখেও কাজটি করা যেতে পারে। সেক্ষেত্রে এক কেজি পরিষ্কার ছাই এর সাথে 100-200 গ্রাম ফার্নাজসাইড (ছত্রাকনাশক) ডাইমেন এম-45 মিশিয়ে দিতে হবে। এতে আলু পচন অনেকাংশে রোধ করা সম্ভব। আলু কাটার সময় প্রতিটি আলু কাটার পর সাবান পানি দ্বারা ছুরি বা বটি পরিষ্কার করা উচিত যাতে রোগ জীবাণু এক বীজ থেকে অন্য বীজে না ছড়ায়। বীজ আলু আড়াআড়ি ভাবে না কেটে লম্বালম্বিভাবে কাটতে হবে, খেয়াল রাখতে হবে যাতে প্রতিটি অংশে কমপক্ষে দুটি চোখ বা কুঁড়ি থাকে।"
tuber,potato,আলু,25,sowing_time,রোপণ সময়,বাংলাদেশে বর্তমানে 15 কার্তিক থেকে 15 অগ্রহায়ণ (নভেম্বর মাস) আলু লাগানোর উপযুক্ত সময়। তবে এর আগে এবং পরেও আলু লাগানো সম্ভব। সেক্ষেত্রে কা•িক্ষত ফলন ও মান অনেক ক্ষেত্রে নাও হতে পারে।
tuber,potato,আলু,25,sowing_method,রোপণ পদ্ধতি,গবেষণা ফলাফলের ভিত্তিতে প্রচলিত বর্তমান পদ্ধতিতে সারি থেকে সারি দূরত্ব 60 সেমি। বীজ থেকে বীজের দূরত্ব আস্ত আলু বীজের জন্য 25 সে.মি. এবং কাটা আলুর জন্য 10-15 সে.মি.।
