crop_group,crop_en,crop_bn,page,sowing_windows,sow_start,sow_end,seed_rate_kg_ha_min,seed_rate_kg_ha_max,row_spacing_cm,plant_spacing_cm,urea_kg_ha,tsp_kg_ha,mop_kg_ha,gypsum_kg_ha,zinc_sulphate_kg_ha,boron_kg_ha,cowdung_t_ha,irrigations_min,irrigations_max,harvest_days_min,harvest_days_max,harvest_windows,yield_t_ha_min,yield_t_ha_max,n_fields,sowing_time_bn,seed_rate_bn,fertilizer_method_bn,irrigation_bn,harvest_bn,note,source
tuber,potato,আলু,25,1 Nov-30 Nov,11-01,11-30,1500.0,2000.0,60.0,,337.5,210.0,275.0,110.0,9.0,7.5,10.0,2.0,3.0,,,,,,72,বাংলাদেশে বর্তমানে 15 কার্তিক থেকে 15 অগ্রহায়ণ (নভেম্বর মাস) আলু লাগানোর উপযুক্ত সময়। তবে এর আগে এবং পরেও আলু লাগানো সম্ভব। সেক্ষেত্রে কা•িক্ষত ফলন ও মান অনেক ক্ষেত্রে নাও হতে পারে।,সাধারণত হেক্টরপ্রতি 1.5-2.0 টন বীজ আলু প্রয়োজন ।,"গোবর ও জিংক সালফেট শেষ চাষের সময় জমিতে মিশিয়ে দিতে হবে। অর্ধেক ইউরিয়া, সম্পূর্ণ টিএসপি, এমপি, জিপসাম ও বোরন সার রোপণের সময় সারির দুই পার্শ্বে বা জমিতে মিশিয়ে দিতে হবে। বাকি ইউরিয়া রোপণের 30-35 দিন পর অর্থাৎ দ্বিতীয়বার মাটি তোলার সময় উপরি প্রয়োগ করতে হবে। তবে ভালো পদ্ধতিতে বীজ রোপণ লাইনের উভয় পার্শে 10-12 সেমি দূরে লাইন টেনে সার দেওয়া ভালো। এতে সারের সঠিক প্রয়োগ হয়। সার প্রয়োগের পর সাথে সাথে সার ও বীজ মাটি দিয়ে ভেলি তুলে ঢেকে দিতে হবে।","বীজ রোপণের পর জমিতে পরিমিত রস না থাকলে সেচ দেওয়া উত্তম, তবে খেয়াল রাখতে হবে ক্ষেতে কোনভাবেই পানি না দাঁড়ায়। লক্ষ্য রাখতে হবে যেন পানিতে ভেলির 2/3 অংশ পর্যন্ত ডুবে যায়। এছাড়াও 2-3টি সেচ প্রয়োগ করা প্রয়োজন হতে পারে (20-25 দিনের মধ্যে স্টোলন বের হওয়ার সময়। 40-45 দিনের মধ্যে গুটি বের হওয়া পর্যন্ত এবং পরে আলু বৃদ্ধির সময়)। জমি থেকে আলু উঠানোর 7-10 দিন পূর্বে মাটি ভেদে সেচ প্রয়োগ বন্ধ রাখতে হবে। উল্লেখ্য যে, দাঁদ রোগ নিয়ন্ত্রণের জন্য আলু রোপণের পর 30-50 দিনের সময়ে জমিতে কোন অবস্থায় রসের ঘাটতি এবং 60-65 দিনের পর রসের আধিক্য হতে দেয়া যাবে না।","কোল্ড স্টোরেজ থেকে বীজ আলু বের করার পর 48 ঘণ্টা প্রি হিটিং রুমে রাখতে হবে। বীজ আলু বাড়ীতে আনার 24 ঘণ্টার মধ্যে বস্তা খুলে ছড়িয়ে আবহাওয়ার সাথে খাপ খাওয়ানোর জন্য স্বাভাবিকভাবে বাতাস চলাচল করে এমন ছায়াযুক্ত স্থানে রাখতে হবে। কারণ বীজ কোল্ড স্টোরেজ থেকে বের করে বস্তা বন্ধ অবস্থায় রাখলে ঘেমে পচে যাওয়ার সম্ভাবনা থাকে। শুষ্ক, উজ্জ্বল ও ভালো আবহাওয়াতে আলু উত্তোলন করতে হবে। এক সারির পর এক সারি কোদাল বা লাঙ্গল দিয়ে আলু উঠাতে হবে। লক্ষ্য রাখতে হবে যেন আলু আঘাতপ্রাপ্ত না হয়। আলু উঠানোর পর প্রখর র",,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,sweet potato,মিষ্টি আলু,41,1 Oct-30 Nov,10-01,11-30,,,60.0,30.0,265.0,155.0,245.0,70.0,11.0,7.0,10.0,3.0,3.0,120.0,140.0,,35.0,40.0,34,অক্টোবরের মাঝামাঝী থেকে নভেম্বর মাস পর্যন্ত (কার্তিক থেকে মধ্য অগ্রহায়ণ) মিষ্টিআলুর লতা রোপণ করা যায়।,"মিষ্টিআলুর লতার কাটিং সমতল বেডে বা উঁচু ভেলি পদ্ধতিতে রোপণ করা যায়। তবে উঁচু ভেলি পদ্ধতিতে ফলন বেশি হয়। সাধারণত চরাঞ্চলে এবং সেচবিহীনভাবে চাষ করলে সমতল জমিতে ফারো করে লতার কাটিং লাগানো হয়। সারি থেকে সারির দূরত্ব 60 সেমি, (2ফুট) এবং চারা থেকে চারার দূরত্ব 30 সেমি (1 ফুট)। লতার অগ্রভাগ মাটির উপরে রেখে দুই থেকে তিনটি পর্ব সমান্তরাল ভাবে মাটির 4 থেকে 8 সেমি নিচে পুঁতে দিতে হবে। এ পদ্ধতিতে রোপণ করলে প্রতি হেক্টর জমির জন্য প্রায় 56 হাজার লতার প্রয়োজন হয়। জমিতে পর্যাপ্ত রস না থাকলে লতা লাগানোর পর",,"মিষ্টিআলুর গাছ মাটিতে লেগে গেলে 30 দিন, 60 দিন ও 90 দিন পর 3 বার সেচ দেয়া উচিত। অতিরিক্ত বৃষ্টি হলে পানি নিষ্কাশনের যথোপযুক্ত ব্যবস্থা গ্রহণ করতে হবে। সময়মতো পানি সেচ মিষ্টিআলুর ফলন এবং বাজার জাতকরণের উপযোগী কন্দমূলের সংখ্যা, ওজন ও গুণাগুণ বৃদ্ধি করে।",চারা রোপণের 120 থেকে 140 দিন পর কন্দমূল উত্তোলন উপযোগী হয় তবে 160 দিনের বেশি রাখলে শাঁস আঁশযুক্ত হয়। মাটির সাধারন ‘জো’ অবস্থায় কোদাল দ্বারা কুপিয়ে মিষ্টিআলু উত্তোলন করা হয়। উত্তম ব্যবস্থাপনায় উচ্চফলনশীল মিষ্টিআলুর জাতগুলোর ফলন 35-40 টন/হেক্টর হয়ে থাকে।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,yam,মেটেআলু,49,15 Feb-30 May,02-15,05-30,2000.0,2500.0,120.0,120.0,,,,,,,,3.0,3.0,,,,117.8,117.8,32,মধ্য ফেব্রুয়ারি থেকে মে মাস (ফাল্গুন থেকে মধ্য জ্যৈষ্ঠ) পর্যন্ত মেটেআলু রোপণ করা যায়।,2-2.5 টন/হেক্টর।,,বীজ রোপণ ও বৃদ্ধির প্রাথমিক পর্যায়ে মার্চ থেকে মে (মধ্য ফাল্গুন থেকে মধ্য জ্যৈষ্ঠ) পর্যন্ত মাটির আর্দ্রতা বুঝে 2/3 টি হালকা সেচ দিলে ফলন ভাল হয় এবং পানি নিষ্কাশনের সুবন্দোবস্ত করতে হবে।,যখন অধিকাংশ পাতা হলুদ বর্ণ ধারণ করে অথবা লতা সম্পূর্ণরূপে শুকিয়ে যায় তখন মেটেআলু উত্তোলনের উত্তম সময়। মেটেআলুর জীবন কাল 8 থেকে 11 মাস।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,water taro (panikochu),কচু,54,15 Oct-15 Dec; 1 Feb-15 Mar; 15 Dec-15 Jan,10-15,12-15,,,60.0,45.0,325.0,175.0,320.0,115.0,13.0,11.0,12.5,,,,,,,,27,আগাম ফসলের জন্য কার্তিক-অগ্রহায়ণ (মধ্য অক্টোবর থেকে মধ্য ডিসেম্বর) ও নাবী ফসলের জন্য মধ্য মাঘ-ফাল্গুন (ফেব্রুয়ারি-মধ্য মার্চ) মাসে লাগানো যায়। তবে বাণিজ্যিকভাবে চাষাবাদের জন্য পৌষ মাস (মধ্য ডিসেম্বর থেকে মধ্য-জানুয়ারি) চারা রোপণের সর্বোত্তম সময়।,কচু চাষে প্রয়োজন প্রতি হেক্টরে 37-38 হাজার চারা।,"গোবর বা কম্পোস্ট, টিএসপি, জিপসাম, জিংক সালফেট, বরিক এসিড এবং অর্ধেক এমওপি সার জমি তৈরির সময় শেষ চাষের আগে প্রয়োগ করতে হবে। চারা রোপণের 1.5-2 মাস সময়ে অর্ধেক এমওপি এবং ইউরিয়ার এক ষষ্ঠাংশ ছিটিয়ে দিতে হবে। বাকি পাঁচ ভাগ ইউরিয়া সার সমান কিস্তিতে 15 দিন পর পর জমিতে প্রয়োগ করতে হবে।",পানি কচু চাষের জন্য দীর্ঘ জলাবদ্ধতা ভাল নয়। এ জন্য মাঝে মাঝে দাঁড়ানো পানি নেড়ে চেড়ে দেয়া আবশ্যক। পানি কচুর জন্য দাঁড়ানো পানির গভীরতা 8-10 সেমি এর বেশি হওয়া উচিত নয়।,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,tannia (Xanthosoma),সাহেবীকচু,58,1 Sep-30 Oct,09-01,10-30,,,,,,,,,,,,2.0,3.0,,,1 Oct-30 Dec,60.0,90.0,25,সেপ্টেম্বর-অক্টোবর (মধ্য ভাদ্র থেকে মধ্য কার্তিক) চারা (সাকার) লাগানোর উপযুক্ত সময়। উপযুক্ত ব্যবস্থাপনায় সারা বছর চারা রোপণ করা সম্ভব।,,মাঠে বিদ্যমান গাছের ক্ষেত্রে সম্পুর্ণ সার সমান দুই কিস্তিতে গাছের গোড়ার চারিদিকে রিং পদ্ধতিতে বর্ষার আগে এপ্রিল/মে ও পরে সেপ্টেম্বর/অক্টোবর প্রয়োগ করতে হবে।,মাটির আর্দ্রতার উপর ভিত্তি করে বৃদ্ধির প্রাথমিক পর্যায়ে এবং শুকনো মৌসুমে (জানুয়ারি-মার্চ) 2-3 টি সেচের প্রয়োজন হতে পারে। বর্ষাকালে ফসলে সেচ দেয়ার প্রয়োজন হয় না। এ সময় ক্ষেতে যাতে অতিরিক্ত পানি না জমে সেজন্য নিষ্কাশনের ব্যবস্থা করতে হবে। তবে সাহেবীকচু প্রায় তিন মাস পর্যন্ত শুষ্ক আবহাওয়া এবং দুই সপ্তাহ পর্যন্ত জলাবদ্ধতা সহ্য করতে পারে।,মধ্যম বয়ষ্ক পাতা যেকোন সময় (চবৎড়ফরপধষষু) খাবার উপযোগী। রাইজোম 2 বছর হতে 5 বছর পযর্ন্ত যেকোন সময় সংগ্রহ করা যাবে। তবে সাধারণত কৃষক অক্টোবর - ডিসেম্বর মাসে রাইজোম সংগ্রহ করে।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,taro (mukhikochu),মুখীকচু,62,1 Feb-28 Feb,02-01,02-28,450.0,600.0,60.0,35.0,290.0,175.0,300.0,115.0,13.0,11.0,10.0,,,,,1 Sep-30 Sep,30.0,35.0,14,মধ্য-মাঘ থেকে মধ্য-ফাল্গুন (ফেব্রুয়ারি)।,মুখীর ছড়া 450-600 কেজি/হেক্টর (15-20 গ্রাম ওজনের মুখী)।,"সম্পূর্ণ গোবর বা খামারজাত সার, টিএসপি, জিপসাম, জিংক সালফেট ও বরিক এসিড এবং অর্ধেক ইউরিয়া ও এমওপি জমি প্রস্তুতির শেষ চাষের সময় ছিটিয়ে প্রয়োগ করতে হবে। বাকি অর্ধেক এমওপি চারা গজানোর 20-25 দিন পর এবং বাকি ইউরিয়া সমান দুই কিস্তিতে বীজ গজানোর 20-25 দিন এবং 40-50 দিন এর মধ্যে পার্শ্ব প্রয়োগ পদ্ধতিতে উপরি প্রয়োগ করতে হবে। সারের নাম সারের পরিমাণ কেজি/হেক্টর কেজি/বিঘা কেজি/শতক গোবর 10,000 1377 5.59 ইউরিয়া 250-330 34.44-45.45 0.14-0.18 টিএসপি 150-200 20.66-27.55 0.08-0.11 এমওপি 250-350 34.44-48.21 0.14-0.20 জিপসাম 100 - 130 13.77-17.91 0.06-0.07 জিংক সালফেট* 10 - 16 1.38-2.2 0.01 বরিক এসিড* 10-12 1.38-1.65 0.01 *এলাকাভেদে প্রয়োজন হয় মুখীকচুর চাষে নিম্নলিখিত হারে সার ব্যবহার করতে হয়।",মুখীকচু খরা মৌসুমে লাগানো হলে বীজ অঙ্কুরোদগমের জন্য তো বটেই প্রাথমিক বৃদ্ধি পর্যায়ে মাটির প্রকারভেদে 10-20 দিন পর পর সেচ দেয়া প্রয়োজন হয়। বর্ষাকালে সেচ দেওয়ার দরকার পড়ে না তবে অতিরিক্ত বৃষ্টির পানি দ্রুত নিষ্কাশনের সুব্যবস্থা গ্রহণ করতে হবে। মনে রাখতে হবে মুখীকচুর উচ্চ ফলনের জন্য প্রয়োজনীয় সেচ ও নিষ্কাশন ব্যবস্থা যথাসময়ে গ্রহণ করতে হবে।,বীজ রোপণের ছয় মাস পর আগাম ফসল সেপ্টেম্বর (মধ্য-ভাদ্র) মাস থেকে মুখী সংগ্রহের উপযোগী হয় এবং ঐ সময় গাছের পাতা হলুদ বর্ণ ধারণ করতে থাকে এবং ধীরে ধীরে মারা যায়। কোদাল দিয়ে মাটি খুঁড়ে মুখী সংগ্রহ করা হয়।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,elephant foot yam,ওলকচু,64,1 Feb-28 Feb; 1 Apr-30 Apr,02-01,02-28,,,50.0,40.0,325.0,210.0,175.0,,,,,,,,,,,,16,মধ্য -মাঘ থেকে মধ্য-ফাল্গুন (ফেব্রুয়ারি) মাস বীজ বপনের উপযুক্ত সময়। প্রয়োজনে মধ্য-চৈত্র থেকে মধ্য-বৈশাখ (এপ্রিল) মাসেও লাগানো যায় তবে এরপরে রোপণ করলে ফলন কমে যায়।,,,,একটি কন্দ থেকে 2-4 টি পর্যন্ত ভূয়া কাণ্ড বের হতে দেখা যায়। একটি নতুন ভূয়া কাণ্ড বের হওয়ার পর পুরানটি মারা যায়। ক্ষেতে যখন শতকরা 80 ভাগ গাছ হলুদ হয়ে যায় তখন ফসল পরিপক্ক হবে এবং তখন থেকে ফসল সংগ্রহ করা যাবে। বীজের জন্য ক্ষেতের গাছ সম্পূর্ণ রূপে শুকিয়ে মারা যাওয়ার পর সংগ্রহ করতে হবে। বাজার মূল্য এবং বাজারের চাহিদা মোতাবেক ঠিকমতো বৃদ্ধিপ্রাপ্ত হলে সংগ্রহ করতে হবে। অপরিপক্ক ওলও সংগ্রহ করা যেতে পারে।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
tuber,cassava,কাসাভা,67,1 Feb-30 Apr,02-01,04-30,,,90.0,90.0,,,,,,,,,,,,,40.0,60.0,20,সেচ সুবিধা থাকলে বছরের যে কোন সময় কাসাভা রোপণ করা যায়। তবে ফেব্রুয়ারি থেকে এপ্রিল (ফাল্গুন-বৈশাখ) মাস পর্যন্ত কাসাভা লাগানোর উপযুক্ত সময়।,"রোপণ দূরত্ব 90 × 90 সেমি হলে 1 হেক্টর জমির জন্য চারা বা কাটিং প্রয়োজন হবে 12,500টি এবং রোপণ দূরত্ব 75 × 75 সে. হলে 1 হেক্টর জমির জন্য চারা বা কাটিং প্রয়োজন হবে 18,000টি।",,বন্যা বা বৃষ্টির পানি যাতে জমিতে না জমতে পারে সে জন্য নিষ্কাশনের সু-ব্যবস্থা থাকতে হবে। বৃষ্টির পানি সহজে চলে যাবার জন্য দুই সারি বা প্রতি সারির পার্শ্ব দিয়ে নালা তৈরি করে দিতে হবে। কাসাভা খরা সহ্যকারী গাছ হলেও প্রয়োজনীয় সেচের ব্যবস্থা থাকলে ফলন অনেক বৃদ্ধি পায়।,চারা রোপণের 7 মাস পর থেকে কাসাভা গাছ থেকে কন্দ সংগ্রহ করা যায়। সঠিকভাবে পরিচর্যা করলে কন্দের ফলন হেক্টরপ্রতি 40-60 টন সহজেই পাওয়া সম্ভব। কাসাভার সবচেয়ে বড় সুবিধা হল কন্দ গাছের সাথে সংরক্ষিত থাকে এবং প্রয়োজনমত সংগ্রহ করা যায় তবে 9-10 মাসের পর থেকে তিতা হয়ে যায়।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
pulse,grass pea,খেসারী,72,23 Oct-15 Nov,10-23,11-15,7.0,8.0,40.0,,32.5,56.5,42.5,42.5,,8.5,,,,114.0,130.0,15 Feb-15 Mar,,,12,রিলে ফসলের ক্ষেত্রে আমন ধানের পরিপক্কতাকাল এবং জমির রসের পরিমাণের উপর খেসারীর বীজ বপনের সময় অনেকটা নির্ভর করে। তবে আমন ধান কাটার 10-15 দিন পূর্বে জমি থেকে পানি নেমে যায়ার সাথে সাথে বীজ বপন করলে ভালো ফলন পাওয়া যায়। এক্ষেত্রে কার্তিক মাসের দ্বিতীয় সপ্তাহ থেকে শেষ সপ্তাহ (অক্টোবর মাসের শেষ সপ্তাহ থেকে মধ্য নভেম্বর) পর্যন্ত বীজ বপন করতে হয়।,সারিতে বপন করলে বিঘাপ্রতি 7-8 কেজি (53-60 কেজি/হেক্টর) এবং রিলে বা ছিটিয়ে বপন করলে বীজের পরিমাণ কিছু বেশি দিতে হবে।,,,বীজ বপনের 114-130 দিন (জাত ভেদে দিনের পরিবর্তন হয়) পর বা ফাল্গুন (মধ্য-ফেব্রুয়ারি থেকে মধ্য-মার্চ) মাসে ফসল সংগ্রহ করতে হয়। খেসারীর ফল পেকে গাছ শুকিয়ে গেলে গাছগুলোকে কেটে শক্ত মাটিতে বা মাটির উপরে পলিথিন বিছিেিয় অথবা পাকা মেঝেতে ছড়িয়ে রেখে শুকাতে হবে। তারপর রৌদ্রোজ্জল দিনে লাঠি দিয়ে পিটিয়ে অথবা যান্ত্রিক উপায়ে মাড়াই করতে হবে। ঝাড়াই করার জন্য কুলা বা বৈদ্যুতিক পাখা ব্যবহার করা উত্তম।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
pulse,lentil,মসুর,77,23 Oct-14 Nov; 23 Nov-30 Nov,10-23,11-14,30.0,35.0,25.0,,42.5,85.0,42.5,52.5,,8.5,,1.0,1.0,110.0,115.0,,,,24,কা•িক্ষত ফলনের জন্য সঠিক সময়ে বীজ বপন করা প্রয়োজন। অক্টোবরের শেষ সপ্তাহ থেকে নভেম্বরের 2য় সপ্তাহ পর্যন্ত (কার্তিকের 2য় সপ্তাহ - কার্তিকের শেষ সপ্তাহ পর্যন্ত) বীজ বপনের উত্তম সময়। গবেষণায় দেখা যায় বপনের সময় প্রতি 10 দিন বাড়ার সাথে সাথে ফলন 20 ভাগ হারে কমতে থাকে। তবে বারি মসুর-8 নভেম্বরের শেষ সপ্তাহ পর্যন্ত বোনা যেতে পারে। সেক্ষেত্রে ফলন কিছুটা কমলেও রোগের কারণে ব্যাপক ক্ষতি হওয়ার আশংকা কম।,বীজের হার 30-35 কেজি/হেক্টর। ছিটিয়ে বপনের ক্ষেত্রে বীজের পরিমাণ সামান্য বেশি দিতে হয়। তবে বারি মসুর-3 এর বেলায় হেক্টরপ্রতি 35-40কেজি বীজ ব্যবহার করতে হবে। তবে আমন ধানের সাথে সাথী ফসল (রিলে ক্রপ) হিসাবে আবাদ করলে 50-60 কেজি/ হেক্টর বীজ প্রয়োজন হয়। বারি মসুর-9 জাতের ক্ষেত্রে বীজ হার 70-75 কেজি/হেক্টর।,,,বীজ বপনের 110-115 দিন পর মসুর সংগ্রহ করা যায়। বারি মসুর-9 জাতটি স্বল্প জীবনকাল হওয়ায় 85-90 দিন পর মসুর সংগ্রহ করা যায়। গাছসহ ফল পেকে বাদামী বর্ণ ধারন করলে ফসল সংগ্রহ করা যায়।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
