variety,season,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,seedbed_sowing,seedling_age_days,harvest,salt_tolerant,salt_tolerance_ds_m,submergence_tolerant,drought_tolerant,cold_tolerant,aromatic,zinc_mg_kg,notes,source,source_file,url,spacing_cm,seedlings_per_hill,weed_free_days,urea_kg_bigha,tsp_kg_bigha,mop_kg_bigha,gypsum_kg_bigha,zinc_sulphate_kg_bigha,fertilizer_timing
BR1,Boro,1970.0,145,150,5.5,5.5,88.0,15-29 Nov,35-40,14-28 Apr,False,,False,False,False,False,,Chandina; short bold grain; transplant 19 Dec-8 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR1.pdf,,,,,,,,,
BR1,Aus,1970.0,120,120,4.0,4.0,88.0,29 Mar-18 Apr,20-25,30 Jul-20 Aug,False,,False,False,False,False,,Chandina; transplant 18 Apr-18 May,read from scanned factsheet,wp_content_uploads_2014_04__BR1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR1.pdf,,,,,,,,,
BR2,Boro,1971.0,160,160,5.0,5.0,120.0,4-19 Nov,35-40,14-28 Apr,False,,False,False,False,False,,Mala; medium-fine white grain; transplant 9 Dec-28 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR2.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR2.pdf,,,,,,,,,
BR2,Aus,1971.0,125,125,4.0,4.0,120.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Mala; transplant 18 Apr-13 May,read from scanned factsheet,wp_content_uploads_2014_04__BR2.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR2.pdf,,,,,,,,,
BR6,Boro,1977.0,140,140,4.5,4.5,100.0,15-29 Nov,35-40,14-28 Apr,False,,False,False,False,False,,long fine white grain; transplant 19 Dec-8 Jan,read from scanned factsheet,wp_content_uploads_2014_04__BR6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR6.pdf,,,,,,,,,
BR6,Aus,1977.0,110,110,3.5,3.5,100.0,29 Mar-18 Apr,20-25,25 Jul-14 Aug,False,,False,False,False,False,,transplant 18 Apr-8 May,read from scanned factsheet,wp_content_uploads_2014_04__BR6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR6.pdf,,,,,,,,,
BR7,Boro,1977.0,155,155,4.5,4.5,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,BRRI Balam; long fine grain; tall seedlings suit deeper water,read from scanned factsheet,wp_content_uploads_2014_04__BR7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR7.pdf,,,,,,,,,
BR7,Aus,1977.0,130,130,3.5,3.5,125.0,29 Mar-13 Apr,20-30,9-25 Aug,False,,False,False,False,False,,BRRI Balam; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR7.pdf,,,,,,,,,
BR8,Boro,1978.0,160,160,6.0,6.0,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,Asha; medium-bold grain; suits hail-prone areas,read from scanned factsheet,wp_content_uploads_2014_04__BR8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR8.pdf,,,,,,,,,
BR8,Aus,1978.0,125,125,5.0,5.0,125.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Asha; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR8.pdf,,,,,,,,,
BR9,Boro,1978.0,155,155,6.0,6.0,125.0,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,Sufala; long medium-bold white grain; suits hail-prone areas,read from scanned factsheet,wp_content_uploads_2014_04__BR9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR9.pdf,,,,,,,,,
BR9,Aus,1978.0,120,120,5.0,5.0,125.0,29 Mar-13 Apr,20-30,4-20 Aug,False,,False,False,False,False,,Sufala; transplanted Aus,read from scanned factsheet,wp_content_uploads_2014_04__BR9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR9.pdf,,,,,,,,,
BR10,Aman,1980.0,150,150,6.5,6.5,115.0,15 Jun-15 Jul,30-40,5 Nov-5 Dec,False,,False,False,False,False,,Progoti; photoperiod-sensitive late Aman; 40-50 day seedlings go into knee-deep water (southern lowlands),read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Aman__Factsheet31-BR10.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet31-BR10.pdf,,,,,,,,,
BR12,Boro,1983.0,170,170,5.5,5.5,105.0,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Moyna; medium-bold white grain; transplant 1-15 Poush,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf,,,,,,,,,
BR12,Aus,1983.0,130,130,4.5,4.5,105.0,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Moyna,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf,,,,,,,,,
BR15,Boro,1983.0,170,170,5.5,5.5,90.0,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Mohini; medium-bold white grain,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf,,,,,,,,,
BR15,Aus,1983.0,130,130,4.5,4.5,100.0,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Mohini,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf,,,,,,,,,
BRRI hybrid dhan1,Boro,2001.0,155,160,7.5,8.5,,15 Nov-15 Dec,30-35,20-30 Apr,False,,False,False,False,False,,"hybrid, approved for Barishal and Jashore regions; medium-fine grain; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_04__BRRIHybriddhan1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIHybriddhan1.pdf,,,,,,,,,
BRRI hybrid dhan5,Boro,2016.0,144,144,8.5,9.0,110.0,15 Nov-15 Dec,30-35,,False,,False,False,False,False,,hybrid; height 105-110 cm; long slender grain; lodging resistant; transplant 15 Dec-15 Jan,read from scanned factsheet,wp_content_uploads_2015_02__BRRI_hybridDhan5.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI hybridDhan5.pdf,,,,,,,,,
BRRI hybrid dhan6,Aman,,110,115,6.0,6.5,110.0,5-15 Jul,25-30,30 Oct-10 Nov,False,,False,False,False,False,,"hybrid; short duration; height 105-110 cm; released for Dhaka, Chattogram and Jashore regions; transplant 30 Jul-10 Aug",read from scanned factsheet,wp_content_uploads_2015_02__brrid-hybrid-dhan6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brrid-hybrid-dhan6.pdf,,,,,,,,,
BRRI hybrid dhan7,Aus,2020.0,105,110,6.5,7.0,105.0,18-30 Apr,25-30,14 Aug-8 Sep,False,,False,False,False,False,,"first hybrid for transplanted Aus; released for Chattogram, Rangpur and Khulna regions; height 101-105 cm",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-Hybrid-Dhan7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-Hybrid-Dhan7.pdf,,,,,,,,,
BRRI hybrid dhan8,Boro,2022.0,145,148,10.5,11.0,115.0,15 Nov-15 Dec,25-30,,False,,False,False,False,False,,"hybrid; short-duration high-yield Boro; released for Dhaka, Chattogram and Rangpur regions; height 110-115 cm; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-HY-dhan8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-HY-dhan8.pdf,,,,,,,,,
BRRI hybrid dhan9,Boro,,145,147,9.5,10.5,,,,,True,8.0,False,False,False,False,,first salt-tolerant hybrid: 4-8 dS/m seedling to maturity; 6.5-7 t/ha on the coast; stays green at maturity; lodging resistant; approved at the 115th National Seed Board meeting,read from scanned factsheet,wp_content_uploads_2026_03__BRRI-hybrid-dhan9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2026/03/BRRI-hybrid-dhan9.pdf,,,,,,,,,
